rank,prev_rank,name,league,off,def,spi
98,97,Real Valladolid,Spanish Primera Division,1.53,0.87,61.5
99,102,Fulham,Barclays Premier League,1.7,1.02,61.36
100,105,PAOK Salonika,Greek Super League,1.44,0.81,61.01
101,114,Basel,Swiss Raiffeisen Super League,1.9,1.22,60.7
102,101,Lens,French Ligue 1,1.61,0.97,60.62
103,116,Palmeiras,Brasileiro Série A,1.57,0.95,60.36
104,103,Boca Juniors,Argentina Primera Division,1.47,0.87,60.25
105,119,AZ,Dutch Eredivisie,1.93,1.27,60.2
106,127,LASK Linz,Austrian T-Mobile Bundesliga,1.77,1.14,59.92
107,112,Norwich City,English League Championship,1.7,1.08,59.81
108,93,Watford,English League Championship,1.56,0.96,59.78
109,111,Verona,Italy Serie A,1.57,0.98,59.55
110,109,Bologna,Italy Serie A,1.74,1.13,59.55
111,99,Atletico Mineiro,Brasileiro Série A,1.66,1.07,59.43
112,113,AEK Athens,Greek Super League,1.52,0.94,59.36
113,108,Internacional,Brasileiro Série A,1.45,0.89,59.19
114,115,Lokomotiv Moscow,Russian Premier Liga,1.47,0.9,59.18
115,110,West Bromwich Albion,Barclays Premier League,1.55,0.99,58.99
116,95,FC Krasnodar,Russian Premier Liga,1.64,1.07,58.93
117,120,Strasbourg,French Ligue 1,1.6,1.05,58.6
118,98,Bordeaux,French Ligue 1,1.41,0.88,58.6
119,123,Shanghai SIPG,Chinese Super League,1.69,1.13,58.37
120,124,Beijing Guoan,Chinese Super League,1.76,1.21,58.34
121,131,Istanbul Basaksehir,Turkish Turkcell Super Lig,1.67,1.13,58.23
122,117,Mainz,German Bundesliga,1.78,1.23,58.19
123,125,Nantes,French Ligue 1,1.5,0.98,58.03
124,107,Elche,Spanish Primera Division,1.55,1.03,58.01
125,126,Feyenoord,Dutch Eredivisie,1.9,1.35,57.85
126,128,Metz,French Ligue 1,1.4,0.9,57.55
127,122,Rapid Vienna,Austrian T-Mobile Bundesliga,1.84,1.31,57.51
128,118,Arminia Bielefeld,German Bundesliga,1.54,1.04,57.38
129,139,Red Star Belgrade,UEFA Europa League,1.92,1.4,57.3
130,130,Torino,Italy Serie A,1.73,1.22,57.3
131,129,Galatasaray,Turkish Turkcell Super Lig,1.61,1.11,57.23
132,133,Reims,French Ligue 1,1.48,0.99,57.17
133,138,Alanyaspor,Turkish Turkcell Super Lig,1.62,1.14,56.71
134,137,Ludogorets,UEFA Europa League,1.63,1.16,56.6
135,134,Tigres UANL,Mexican Primera Division Torneo Apertura,1.51,1.05,56.55
136,121,Angers,French Ligue 1,1.46,1.0,56.52
137,151,Sporting de Charleroi,Belgian Jupiler League,1.55,1.09,56.47
138,141,Bodo/Glimt,Norwegian Tippeligaen,2.15,1.65,56.23
139,140,Maccabi Tel-Aviv,UEFA Europa League,1.5,1.05,56.21
140,147,Montpellier,French Ligue 1,1.55,1.1,56.21
141,145,Fenerbahce,Turkish Turkcell Super Lig,1.67,1.21,56.09
142,144,Parma,Italy Serie A,1.7,1.25,56.01
143,143,Cagliari,Italy Serie A,1.65,1.21,55.68
144,132,FC Midtjylland,Danish SAS-Ligaen,1.7,1.26,55.62
145,136,Cruz Azul,Mexican Primera Division Torneo Apertura,1.57,1.14,55.56
146,146,Hapoel Be'er,UEFA Europa League,1.69,1.27,55.36
147,142,Schalke 04,German Bundesliga,1.57,1.15,55.34
148,148,Malmo FF,Swedish Allsvenskan,1.65,1.23,55.21
149,135,Trabzonspor,Turkish Turkcell Super Lig,1.84,1.42,55.1
150,150,Santos,Brasileiro Série A,1.41,1.02,54.93
151,152,Anderlecht,Belgian Jupiler League,1.61,1.21,54.85
152,149,Brest,French Ligue 1,1.59,1.2,54.85
153,155,Genoa,Italy Serie A,1.53,1.14,54.84
154,163,Monterrey,Mexican Primera Division Torneo Apertura,1.59,1.21,54.58
155,154,Ferencvaros,UEFA Champions League,1.63,1.25,54.41
156,170,Molde,Norwegian Tippeligaen,1.92,1.53,54.3
157,159,Antwerp,Belgian Jupiler League,1.6,1.24,54.08
158,169,Vitesse,Dutch Eredivisie,1.66,1.3,53.98
159,157,Besiktas,Turkish Turkcell Super Lig,1.69,1.33,53.88
160,156,León,Mexican Primera Division Torneo Apertura,1.54,1.19,53.76
161,177,Swansea City,English League Championship,1.42,1.07,53.73
162,172,Dinamo Moscow,Russian Premier Liga,1.24,0.91,53.61
163,171,CSKA Sofia,UEFA Europa League,1.33,1.01,53.41
164,188,Genk,Belgian Jupiler League,1.73,1.39,53.39
165,166,Nimes,French Ligue 1,1.42,1.09,53.38
166,164,Velez Sarsfield,Argentina Primera Division,1.22,0.9,53.34
167,158,St Etienne,French Ligue 1,1.35,1.03,53.28
168,161,FC Copenhagen,Danish SAS-Ligaen,1.67,1.34,53.23
169,160,Benevento,Italy Serie A,1.59,1.27,53.15
170,153,Blackburn,English League Championship,1.54,1.22,53.09
171,176,Lorient,French Ligue 1,1.44,1.13,53.04
172,165,Guimaraes,Portuguese Liga,1.32,1.02,52.95
173,162,Sparta Prague,UEFA Europa League,1.64,1.33,52.8
